Countries,Regions,Currency,Official Language(s) Spoken,Popular Food,Population,Fast Facts
Algeria,North,Algerian dinar,Arabic,c,"42,008,054",
Angola,Central,Angolan kwanza,Portuguese,c,"30,774,205",
Benin,West,West African CFA franc,French,c,"11,485,674",
"Botswana	",South,Botswana pula,Setswana/English,c,"2,333,201",
"Burkina Faso	",West,West African CFA franc,French,c,"19,751,651",
"Burundi	",East,Burundi franc,Kirundi/ French,c,"11,216,450",
"Cameroon	",Central,Central African CFA franc,English/French,c,"24,678,234",
"Cape Verde	",West,Cape Verdean escudo,Portuguese,c,"553,335",
"Central African Republic	",Central, Central African CFA franc,French/Sangho,c,"4,737,423",
"Chad	",Central,Central African CFA franc,French/Arabic,c,"15,353,184",
"Comoros	",East,Comorian franc,Arabic/French,c,"832,347",
"Democratic Republic of the Congo	",Central,Congolese franc,French,c,"84,004,989",
"Republic of the Congo	",Central,Central African CFA franc,French,c,,
"Djibouti	",East, Djiboutian franc,French/ Arabic,c,"971,408",
"Egypt	",North,Egyptian pound,Arabic,c,"99,375,741",
"Equatorial Guinea	",Central,Central African CFA franc,Spanish/ French,c,"1,313,894",
"Eritrea	",East,Eritrean nakfa,Tigrinya (Tigrigna)/Arabic/English,c,"5,187,948",
"Ethiopia	",East,a,Amharic,c,"107,534,882",
"Gabon	",Central,a,French,c,"2,067,561",
"Gambia	",West,a,English,c,"2,163,765",
"Ghana	",West,a,English,c,"29,463,643",
"Guinea	",West,a,French,c,"13,052,608",
"Guinea-Bissau	",West,a,Portuguese,c,"1,907,268",
"Ivory Coast	",West,a,French,c,"24,905,843",
"Kenya	",East,a,English/Kiswahili,c,"50,950,879",
"Lesotho	",South,a,Sesotho (southern Sotho)/English,c,"2,263,010",
"Liberia	",West,a,English,c,"4,853,516",
"Libya	",North,a,Arabic,c,"6,470,956","Libya’s 1,770 kilometers (1099 miles) of Mediterranean Sea coast is the longest of any North African country. Much of the central and eastern area of the country is covered by the Libyan Desert. The Libyan Desert is one of the most sun-baked and arid places on earth."
"Madagascar	",East,a,French/Malagasy,c,"26,262,810","Republic of Madagascar is the fourth largest island in the world, approximately (587,000 2 km). The capital, Antananarivo, is also Madagascar’s most populated city."
"Malawi	",East,a,"English/Nyanja (Chichewa, Chewa)",c,"19,164,728","Lilongwe is the capital and largest city of Malawi.  It is an important economic and transportation hub for central Malawi. The Mulanje Massif, also known as Mount Mulanje is a huge granite massif in southern Malawi. "
"Mali	",West,a,French,c,"19,107,706","Mali is the eighth-largest country in Africa, comparable in size to the nation of South Africa and almost twice the size of the U.S. state of Texas. The thermal equator crosses Mali, making it one of the hottest countries in the world. The Senegal and Niger Rivers make the south of Mali the country’s most fertile region."
"Mauritania	",West,a,Arabic,c,"4,540,068","The capital of Mauritania is Nouakchott, which means “place of the winds.” If you look at Mauritania from space, you can see a clear bull’s-eye-like image called “The Eye of Africa."" Majority of Mauritanians are devout Muslims and belong to the Sunni sect."
"Mauritius	",East,a,English/French,c,"1,268,315","The main island of Mauritius (called Mauritius) is only 28 miles wide and 40 miles long. It is of volcanic origin and is almost entirely surrounded by coral reefs. Mauritius is home to some world-famous public beaches including the fun-named “Flic en Flac,” as well as Pereybere, Tamarin, Blue Bay, La Morne, Belle Mare, and Grand Bay."
"Morocco	",North,a,Arabic,c,"36,191,805","Morocco’s national animal is the Barbary lion. Ethnically, Moroccans are predominately of Berber (North African indigenous) and Arabic decent. Morocco is quite a mountainous country with the Atlas Mountains running from northeast to the southwest through the center and the Rif Mountains located in the north. "
"Mozambique	",East,a,Portuguese,c,"30,528,673","Maputo, the capital, is a vibrant city with a population of 1.5m, with white sandy beaches and a mural showing the civil war which is 95 metres long. Mozambique's coast runs for 1500 miles and features islands and coral reefs where over 1200 species of fish can be found. Maputo Elephant Reserve is home to a herd of 350 elephants, whose habitat was under threat."
"Namibia	",South,a,English,c,"2,587,801","Namibia is home to the world’s oldest desert. According to scientists, Namib Desert is over 55 million years old. Namibia also has the largest population of free-roaming cheetahs in the world."
